"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"137",1064,1.23526822827522e-05,6.0030101988144e-06,8.74261713422559e-07,1.86887704370223e-05,1.6220842094968e-05,2.27666661233092e-07
"138",1063,1.24151683592243e-05,5.33739764508998e-06,4.93313989817488e-06,2.16223558880901e-05,2.54340065528877e-05,1.19245168196218e-05
"139",1062,8.32368874326917e-06,1.24972152943952e-08,4.95487418564343e-06,1.69304665808163e-05,2.50813677387104e-05,1.42039002178862e-05
"140",1061,-2.56029906379558e-06,-9.90159801348609e-06,1.20896974043828e-06,1.85828157856102e-07,1.09616878847648e-05,8.94963622236352e-06
"141",1060,-9.71576985563001e-06,-1.50249129270108e-05,-1.56106519742883e-06,-1.49602534217918e-05,-6.55343102895551e-06,-1.1258360908711e-06
"142",1059,-1.46135915366685e-05,-1.35241603773073e-05,-5.57593145005733e-06,-2.88191218261149e-05,-1.58160409908662e-05,-2.09317489037769e-05
"143",1058,-1.52188914426677e-05,-1.16848963002809e-05,-5.87695133149679e-06,-2.56681935003614e-05,-2.13305730788248e-05,-3.12218473057635e-05
"144",1057,-6.64091153601645e-06,-1.99303416086631e-06,-3.25036269092214e-06,-2.0096065550611e-05,-1.75949924201673e-05,-3.45770779337213e-05
"145",1056,-1.64800234730306e-06,5.27436821143109e-06,7.83738406116027e-06,-8.81325356849837e-07,-2.02509223488238e-06,-1.59105851413545e-05
"146",1055,5.40423057905577e-06,1.60964132992105e-05,1.58893942110726e-05,1.59877418618677e-05,1.84437163458142e-05,5.89216533272472e-06
"147",1054,1.57693122728088e-05,1.97091952336708e-05,2.35154123266011e-05,2.58648888019518e-05,3.21200167354014e-05,3.03791003091703e-05
"148",1053,1.88718818089448e-05,2.20266136350052e-05,2.28574067734907e-05,2.91619802109313e-05,3.12756396672481e-05,4.82099097483714e-05
"149",1052,1.67549622095077e-05,1.42305247200352e-05,1.70864100934031e-05,2.66348259355253e-05,2.62191576876892e-05,4.76953504925534e-05
"150",1051,1.25874125874126e-05,8.62579533908205e-06,5.21785906401293e-06,1.36121842415549e-05,8.88225993121104e-06,3.90092425057461e-05
"151",1050,3.46118527936711e-06,-4.97171825843103e-07,-7.14460364810012e-06,-1.15735080770027e-07,-1.04400649855195e-05,1.90560798952406e-05
"152",1049,-3.4611852793671e-06,-9.14470145239373e-06,-2.0637249308578e-05,-1.52677935894719e-05,-2.77470780967284e-05,-1.22005422704723e-05
"153",1048,-1.32916035013937e-05,-1.78226590814004e-05,-3.16141511945708e-05,-2.23471943751664e-05,-3.85799903282421e-05,-3.28432251509175e-05
"154",1047,-1.5698675838536e-05,-1.99662031829864e-05,-3.3195320607908e-05,-3.28280111496895e-05,-3.98519895023392e-05,-4.79007395091311e-05
